game_title, genre, platforms, release_date, developers,metascore_rating
Deathsmiles,Miscellaneous|General|Shoot-'Em-Up|Scrolling|Action|Shooter|Horizontal,iOS|PC|Xbox 360,Jul  7 2011,Cave,84
Cordy 2,Action|General,iOS,Feb  7 2013,SilverTree Media,84
Beneath The Lighthouse,Action|General,iOS,Oct 29 2015,Nitrome,84
Campfire Cooking,Puzzle|Action,iOS|PC,Oct 18 2017,Layton Hawkes,84
Spinzizzle,Action|General,iOS,May 21 2010,PressOK Entertainment,84
Quell,Action|General|Logic|Puzzle,iOS|PC,Aug  7 2010,Fallen Tree Games,84
JellyCar 3,General|Action|Racing|Automobile|Arcade,iOS,Feb 10 2011,Disney Interactive Studios,84
The Walking Dead: 400 Days,Miscellaneous|Point-and-Click|General|Action|Compilation|Adventure,iOS|PC|PlayStation 3|PlayStation Vita|Xbox 360,Jul 11 2013,Telltale Games,84
Golf Zero,Action|2D|Platformer,iOS,Mar 13 2017,Colin Lane Games AB,84
Vainglory,General|MOBA|Action|Strategy|Real-Time,iOS|PC,Nov 16 2014,Super Evil Megacorp,84
Whale Trail,Action|General,iOS,Oct 20 2011,ustwo,84
Cut the Rope: Time Travel,Miscellaneous|General|Logic|Action|Puzzle,iOS,Apr 18 2013,ZeptoLab,84
DOOM Classic,Action|Shooter|First-Person|Sci-Fi|Arcade,iOS|Xbox 360,Oct 31 2009,id Software,84
TwinGo!,Action|General,iOS,Mar  8 2012,Chillingo Ltd| Chillingo,84
Super Phantom Cat,Action|2D|Platformer,iOS|PC|Switch,Jan 25 2016,Veewo Games,84
Toy Story: Smash It!,Action|General,iOS,Feb 28 2013,N/A,84
Star Wars Pinball,Action|Parlor|Miscellaneous|Pinball,iOS|3DS|Mobile|PlayStation 3|PlayStation Vita|Switch|Wii U,Mar 19 2013,Zen Studios,84
Desert Fox: The Battle of El Alamein,Action|General,iOS,Jun 26 2014,N/A,84
Bug Princess,General|Shoot-'Em-Up|Action|Shooter|Vertical,iOS|PC,Dec  3 2011,Cave,84
Banzai Rabbit,Action|General|Arcade,iOS,Jun  9 2010,Revolutionary Concepts,84
Linkoidz,Action|General,iOS,Oct 26 2010,Retro Dreamer,84
Gem Keeper,Action|General,iOS,Oct 14 2011,NCSOFT,84
Mutant Mudds,Action|2D|Platformer,iOS|3DS|PC,Dec  6 2012,Renegade Kid,84
Puzzle to the Center of the Earth,Action|General,iOS,Oct 23 2014,Foursaken Media,84
Card Crawl,Action|General,iOS|PC,Mar 12 2015,Arnold Rauers,84
Trigger Fist,Action|General,iOS,Aug  8 2012,Lake Effect Applications,84
Knightmare Tower,Action|General,iOS|PC,Aug  1 2013,N/A,84
Stellar Wars,Action|General,iOS,Nov 14 2013,N/A,84
Robot Unicorn Attack 2,Action|2D|General|Platformer,iOS,Apr 25 2013,N/A,84
Mad Acorn,Action|Rhythm|Miscellaneous|Music,iOS,Jun  4 2012,APD Inc.,84
Apocalypse Max: Better Dead Than Undead,Action|2D|General|Platformer,iOS,Sep 14 2012,Wandake,84
Leap Day,Action|2D|Platformer,iOS,May 11 2016,Nitrome,84
Street Fighter IV,Action|2D|3D|Fighting,iOS|PC|PlayStation 3|Xbox 360,Mar 10 2010,Capcom,84
Fractal: Make Blooms Not War,Action|General|Miscellaneous|Puzzle,iOS|PC,Aug 18 2011,Cipher Prime,84
Trial of the Clone,Action|General,iOS,Apr 16 2013,N/A,84
Heroes of Loot,Role-Playing|General|Linear|Action|Action Adventure|Action RPG,iOS|PC|PlayStation Vita,Sep 12 2013,OrangePixel,84
