game_title, genre, platforms, release_date, developers,metascore_rating
The Binding of Isaac: Rebirth,Shooter|Shoot-'Em-Up|Top-Down|Action,iOS|3DS|PC|PlayStation 4|PlayStation Vita|Wii U|Xbox One,Jan  9 2017,Nicalis,93
Pac-Man Championship Edition DX,Arcade|General|Adventure|Action,Xbox 360|iPhone/iPad|PlayStation 3,Nov 17 2010,Namco Bandai Games,93
Street Fighter Alpha 3,2D|Fighting|Action,PlayStation,Apr 30 1999,Capcom,93
Spider: The Secret of Bryce Manor,General|Puzzle|Action,iOS,Aug 10 2009,Tiger Style,93
Unreal Tournament 2004,Sci-Fi|Shooter|First-Person|Action|Arcade,PC,Mar 16 2004,Epic Games,93
BioShock Infinite,Sci-Fi|Shooter|First-Person|Action|Arcade,Xbox 360|PC|PlayStation 3,Mar 26 2013,Irrational Games,93
Braid,Platformer|2D|Action,Xbox 360|PC|PlayStation 3,Aug  6 2008,Number None Inc.,93
Super Mario 3D World,3D|Platformer|Action,Wii U,Nov 22 2013,Nintendo,93
Traps n' Gemstones,Platformer|2D|General|Action,iOS|PC,Jul 23 2014,Donut Games,93
Quake III Arena,Shooter|Sci-Fi|First-Person|Action,Dreamcast,Oct 22 2000,Raster,93
Gears of War 2,Sci-Fi|Shooter|Action|Arcade|Third-Person,Xbox 360,Nov  7 2008,Epic Games,93
SoulCalibur II,3D|Fighting|Action,GameCube|PlayStation 2,Aug 27 2003,Namco,93
Cut the Rope,General|Edutainment|Action|Miscellaneous|Logic|Puzzle,iOS|3DS|PC,Oct  5 2010,ZeptoLab,93
Rock Band 3,Miscellaneous|Music|Action|Rhythm,Xbox 360|PlayStation 3,Oct 26 2010,Harmonix Music Systems,93
Viewtiful Joe,Beat-'Em-Up|Action,GameCube|PlayStation 2,Oct  7 2003,Clover Studio,93
Castlevania: Symphony of the Night,Platformer|2D|Action,PlayStation,Oct  2 1997,Konami,93
Virtua Fighter 4: Evolution,3D|Fighting|Action,PlayStation 2,Aug 13 2003,Sega,93
Super Smash Bros. Ultimate,2D|Fighting|Action,Switch,Dec  7 2018,Nintendo| HAL Labs| Bandai Namco Games| Sora Ltd.,93
Braid,Platformer|2D|Action,PlayStation 3|PC|Xbox 360,Nov 12 2009,Hothead Games| Number None Inc.,93
Punch Quest,General|Action,iOS,Oct 25 2012,Madgarden,93
Sonic CD,Platformer|2D|Action,iOS|PC|PlayStation 3|Xbox 360,Dec 15 2011,Sega,93
Cave Story,Platformer|2D|Action,3DS|PC,Oct  4 2012,Nicalis,93
The Executive,General|Action,iOS,Jul  2 2015,Riverman Media LLC,93
A Good Snowman Is Hard To Build,Puzzle|Action,iOS|PC,Dec  9 2015,Draknek,93
INSIDE,Platformer|2D|Action,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,Jun 29 2016,PLAYDEAD,93
Ryan North's To Be Or Not To Be,General|Action,iOS,Mar 18 2015,Tin Man Games,93
Implosion - Never Lose Hope,Shoot-'Em-Up|General|Shooter|Top-Down|Action,iOS|Switch,Apr  8 2015,Rayark Inc.,93
The Bug Butcher,Platformer|2D|Action,iOS|PC|PlayStation 4|Switch|Xbox One,Oct 19 2016,Noodlecake Studios,93
SoulCalibur II,3D|Fighting|Action,PlayStation 2,Aug 27 2003,Namco,92
Call of Duty 4: Modern Warfare,Shooter|Modern|First-Person|Action|Arcade,PC|Mobile|PlayStation 3|Xbox 360,Nov  5 2007,Infinity Ward,92
Guitar Hero II,Miscellaneous|Music|Action|Rhythm,Xbox 360|PlayStation 2,Apr  3 2007,Harmonix Music Systems,92
Rock Band,Miscellaneous|Music|Action|Rhythm,Xbox 360|iPhone/iPad|PlayStation 2|PlayStation 3,Nov 20 2007,Harmonix Music Systems,92
Journey,3D|Platformer|Action,PlayStation 4|PC|PlayStation 3,Jul 21 2015,Tricky Pixels,92
Banjo-Kazooie,3D|Platformer|Action,Nintendo 64,May 31 1998,Rare Ltd.,92
Celeste,Platformer|2D|Action,Switch|iPhone/iPad|PC|PlayStation 4|Xbox One,Jan 25 2018,Matt Makes Games Inc.,92
Rock Band 2,Miscellaneous|Music|Action|Rhythm,Wii|PlayStation 2|PlayStation 3|Xbox 360,Dec 18 2008,Harmonix Music Systems,92
Super Street Fighter IV,3D|2D|Fighting|Action,PlayStation 3|3DS|Xbox 360,Apr 27 2010,Capcom,92
Shovel Knight,Platformer|2D|Action,PlayStation Vita|3DS|PC|PlayStation 3|PlayStation 4|Wii U|Xbox One,Apr 21 2015,Yacht Club Games,92
